Orthogroup	gila	anole
OG0001178	augTM-ENSACAT00000012974-0	ENSACAT00000012974
OG0001179	augTM-ENSACAT00000001168-1	ENSACAT00000001168, ENSACAT00000046138
OG0001180	augTM-ENSACAT00000002205-1	ENSACAT00000002205, ENSACAT00000039391
OG0001181	augTM-ENSACAT00000002895-2	ENSACAT00000002895
OG0001182	augTM-ENSACAT00000003608-0	ENSACAT00000003608
OG0001183	augTM-ENSACAT00000002253-1	ENSACAT00000002253
OG0001184	ENSACAT00000002571-0	ENSACAT00000002571, ENSACAT00000047872, ENSACAT00000057371
OG0001186	augTMR-ENSACAT00000011433-0	ENSACAT00000057056, ENSACAT00000005468
OG0001187	ENSACAT00000017691-0	ENSACAT00000017691, ENSACAT00000046497
OG0001188	augTMR-ENSACAT00000017762-0	ENSACAT00000051297, ENSACAT00000017762, ENSACAT00000048203
OG0001190	augTM-ENSACAT00000013090-0	ENSACAT00000009732, ENSACAT00000052656, ENSACAT00000048945
OG0001191	augTM-ENSACAT00000012703-1	ENSACAT00000006491, ENSACAT00000052547, ENSACAT00000046379, ENSACAT00000012703
OG0001192	ENSACAT00000007490-1	ENSACAT00000038737, ENSACAT00000007490, ENSACAT00000043372
OG0001193	augTMR-ENSACAT00000026953-1	ENSACAT00000007148, ENSACAT00000040177, ENSACAT00000049061, ENSACAT00000026953
OG0001194	augTM-ENSACAT00000017239-0	ENSACAT00000017239
OG0001196	augTMR-ENSACAT00000003626-1	ENSACAT00000016974, ENSACAT00000053217
OG0001197	augTMR-ENSACAT00000030477-0	ENSACAT00000036909, ENSACAT00000016161, ENSACAT00000030477, ENSACAT00000043738
OG0001199	augTM-ENSACAT00000008178-0	ENSACAT00000057099, ENSACAT00000001960, ENSACAT00000008178
OG0001200	augTM-ENSACAT00000010200-3	ENSACAT00000042676, ENSACAT00000058141, ENSACAT00000010200, ENSACAT00000038061, ENSACAT00000058746
OG0001201	augTM-ENSACAT00000009600-0	ENSACAT00000058917, ENSACAT00000043274, ENSACAT00000009600, ENSACAT00000055536
OG0001202	ENSACAT00000009709-1	ENSACAT00000009709
OG0001202	ENSACAT00000012487-1	ENSACAT00000052178, ENSACAT00000012487
OG0001203	augTM-ENSACAT00000017115-1	ENSACAT00000017115
OG0001203	augTM-ENSACAT00000017991-1	ENSACAT00000017991
OG0001204	augTM-ENSACAT00000025425-0	ENSACAT00000025425, ENSACAT00000058146
OG0001209	augTM-ENSACAT00000016756-0	ENSACAT00000045382
OG0001210	ENSACAT00000017788-0	ENSACAT00000017788
OG0001212	ENSACAT00000016262-0	ENSACAT00000055098, ENSACAT00000038408
OG0001213	augTM-ENSACAT00000005444-0	ENSACAT00000005444
OG0001213	ENSACAT00000007847-0	ENSACAT00000007847
OG0001214	augTM-ENSACAT00000005102-0	ENSACAT00000050551, ENSACAT00000045497, ENSACAT00000005102, ENSACAT00000051605
OG0001216	augTMR-ENSACAT00000011587-0	ENSACAT00000049159, ENSACAT00000011587, ENSACAT00000048543
OG0001217	augTM-ENSACAT00000002734-0	ENSACAT00000039194, ENSACAT00000055994, ENSACAT00000002734, ENSACAT00000057847
OG0001218	augTM-ENSACAT00000014332-0	ENSACAT00000054145, ENSACAT00000014332
OG0001219	augTM-ENSACAT00000015121-0	ENSACAT00000057712, ENSACAT00000015121
OG0001220	ENSACAT00000015020-0	ENSACAT00000015020, ENSACAT00000050994
OG0001222	augTM-ENSACAT00000030047-0	ENSACAT00000030047
OG0001223	ENSACAT00000016502-0	ENSACAT00000016502, ENSACAT00000040247, ENSACAT00000047681, ENSACAT00000057821
OG0001224	ENSACAT00000012128-0	ENSACAT00000012128
OG0001224	ENSACAT00000016622-0	ENSACAT00000016622
OG0001225	ENSACAT00000010334-0	ENSACAT00000041911, ENSACAT00000010334, ENSACAT00000046509, ENSACAT00000057326
OG0001226	ENSACAT00000017242-0	ENSACAT00000054029, ENSACAT00000017242
OG0001227	augTMR-ENSACAT00000005445-0	ENSACAT00000005445
OG0001227	ENSACAT00000000100-0	ENSACAT00000000100
OG0001228	ENSACAT00000006637-0	ENSACAT00000006637, ENSACAT00000053887, ENSACAT00000052977, ENSACAT00000046341
OG0001229	ENSACAT00000029973-0, ENSACAT00000007178-0	ENSACAT00000007178
OG0001230	augTM-ENSACAT00000009460-1	ENSACAT00000009460
OG0001231	augTM-ENSACAT00000008946-0	ENSACAT00000008946, ENSACAT00000057224, ENSACAT00000049725
OG0001232	augTM-ENSACAT00000007225-0	ENSACAT00000007225
OG0001232	ENSACAT00000007867-0	ENSACAT00000007867
OG0001233	ENSACAT00000007721-0	ENSACAT00000007721
OG0001234	ENSACAT00000011448-1	ENSACAT00000054587, ENSACAT00000011448
OG0001234	augTMR-ENSACAT00000016508-3	ENSACAT00000016508
OG0001235	augTMR-ENSACAT00000011877-0	ENSACAT00000011877
OG0001235	ENSACAT00000006873-0	ENSACAT00000006873
OG0001236	ENSACAT00000008617-0	ENSACAT00000008617
OG0001238	augTM-ENSACAT00000002885-0	ENSACAT00000051072
OG0001238	augTM-ENSACAT00000006917-0	ENSACAT00000006917
OG0001240	augTM-ENSACAT00000001718-0	ENSACAT00000001718, ENSACAT00000055220, ENSACAT00000037494
OG0001241	augTM-ENSACAT00000005636-0	ENSACAT00000005636
OG0001243	ENSACAT00000030222-0	ENSACAT00000013895
OG0001245	augTM-ENSACAT00000013265-1	ENSACAT00000013265, ENSACAT00000038207
OG0001248	augTM-ENSACAT00000009861-0	ENSACAT00000054979, ENSACAT00000002445, ENSACAT00000042081, ENSACAT00000009861
OG0001249	augTMR-ENSACAT00000012468-0	ENSACAT00000007371, ENSACAT00000007340, ENSACAT00000040348
OG0001250	augTMR-ENSACAT00000026788-0	ENSACAT00000043270, ENSACAT00000026788, ENSACAT00000030135, ENSACAT00000051501
OG0001251	ENSACAT00000004672-3	ENSACAT00000004672
OG0001252	augTMR-ENSACAT00000016598-1	ENSACAT00000016598
OG0001253	ENSACAT00000016520-0	ENSACAT00000045235, ENSACAT00000044706, ENSACAT00000046609, ENSACAT00000016520
OG0001254	ENSACAT00000016431-0	ENSACAT00000016431
OG0001255	augTM-ENSACAT00000015717-0	ENSACAT00000042374, ENSACAT00000056537, ENSACAT00000015717
OG0001257	augTM-ENSACAT00000006961-0	ENSACAT00000006961
OG0001259	augTM-ENSACAT00000006887-0	ENSACAT00000006887, ENSACAT00000045684, ENSACAT00000054488
OG0001260	augTM-ENSACAT00000007499-0	ENSACAT00000007499
OG0001261	augTM-ENSACAT00000004670-0	ENSACAT00000014179, ENSACAT00000052683, ENSACAT00000050005, ENSACAT00000004670
OG0001262	augTMR-ENSACAT00000004958-0	ENSACAT00000004958, ENSACAT00000042987, ENSACAT00000054930
OG0001263	augTMR-ENSACAT00000001950-0, ENSACAT00000004130-1	ENSACAT00000004130
OG0001264	ENSACAT00000012883-0	ENSACAT00000012883
OG0001264	ENSACAT00000004718-0	ENSACAT00000004718
OG0001265	ENSACAT00000005038-0	ENSACAT00000048008, ENSACAT00000005038
OG0001266	augTM-ENSACAT00000002489-0	ENSACAT00000039734, ENSACAT00000036625, ENSACAT00000002489
OG0001269	ENSACAT00000003844-1	ENSACAT00000003844
OG0001269	ENSACAT00000001712-1	ENSACAT00000001712
OG0001270	ENSACAT00000007889-0	ENSACAT00000007889
OG0001271	augTM-ENSACAT00000006544-0	ENSACAT00000042805, ENSACAT00000006544
OG0001272	augTM-ENSACAT00000015756-0	ENSACAT00000051372
OG0001275	ENSACAT00000004411-0	ENSACAT00000004411
OG0001276	augTM-ENSACAT00000012119-0	ENSACAT00000012119
OG0001276	augTM-ENSACAT00000003745-0	ENSACAT00000003745
OG0001277	augTM-ENSACAT00000003000-0	ENSACAT00000003000
OG0001277	augTM-ENSACAT00000013580-0	ENSACAT00000013580
OG0001278	augTMR-ENSACAT00000008450-0	ENSACAT00000008450, ENSACAT00000040480
OG0001280	augTMR-ENSACAT00000001030-0	ENSACAT00000037458, ENSACAT00000001030
OG0001284	augTM-ENSACAT00000017636-0	ENSACAT00000041853, ENSACAT00000049073, ENSACAT00000038213, ENSACAT00000017636
OG0001285	augTM-ENSACAT00000017378-0	ENSACAT00000055048, ENSACAT00000049214, ENSACAT00000049230, ENSACAT00000017378
OG0001288	augTMR-ENSACAT00000023613-0	ENSACAT00000044109
OG0001289	ENSACAT00000003274-0	ENSACAT00000003274
OG0001290	augTM-ENSACAT00000003225-0, augTM-ENSACAT00000030350-0	ENSACAT00000030350, ENSACAT00000003225
OG0001291	augTMR-ENSACAT00000006329-0	ENSACAT00000038742, ENSACAT00000038509, ENSACAT00000044861, ENSACAT00000006329
OG0001295	augTM-ENSACAT00000000358-1	ENSACAT00000000358, ENSACAT00000056264
OG0001296	ENSACAT00000000682-0	ENSACAT00000056810, ENSACAT00000055286, ENSACAT00000000682, ENSACAT00000039926
OG0001297	augTM-ENSACAT00000001919-0	ENSACAT00000001919, ENSACAT00000052060
OG0001299	augTM-ENSACAT00000011601-0	ENSACAT00000042635, ENSACAT00000011601, ENSACAT00000054625
OG0001302	augTMR-ENSACAT00000007046-0	ENSACAT00000051984, ENSACAT00000007046, ENSACAT00000006978
OG0001304	ENSACAT00000014533-1	ENSACAT00000053912, ENSACAT00000014533
OG0001305	ENSACAT00000018017-0	ENSACAT00000018017
OG0001305	ENSACAT00000030030-0	ENSACAT00000030030
OG0001306	ENSACAT00000017971-0	ENSACAT00000047508, ENSACAT00000041312, ENSACAT00000017971
OG0001307	augTM-ENSACAT00000002690-0, augTM-ENSACAT00000029656-0	ENSACAT00000029656, ENSACAT00000002690
OG0001308	augTM-ENSACAT00000002892-0	ENSACAT00000041275, ENSACAT00000051486, ENSACAT00000002892, ENSACAT00000037376
OG0001309	augTM-ENSACAT00000030809-0	ENSACAT00000003010, ENSACAT00000028268, ENSACAT00000056164, ENSACAT00000057910
OG0001310	ENSACAT00000003123-0	ENSACAT00000003123
OG0001310	augTM-ENSACAT00000002437-1	ENSACAT00000036834
OG0001311	ENSACAT00000009249-0	ENSACAT00000047814, ENSACAT00000054655
OG0001314	augTM-ENSACAT00000014979-0	ENSACAT00000014979, ENSACAT00000045995
OG0001315	ENSACAT00000002241-0	ENSACAT00000002241, ENSACAT00000042572, ENSACAT00000043927
OG0001316	augTM-ENSACAT00000013934-0	ENSACAT00000013934, ENSACAT00000040185
OG0001317	augTMR-ENSACAT00000009698-1	ENSACAT00000052432, ENSACAT00000009698, ENSACAT00000048709, ENSACAT00000053374
OG0001319	augTM-ENSACAT00000009220-0	ENSACAT00000055288, ENSACAT00000046969, ENSACAT00000009220
OG0001320	augTMR-ENSACAT00000009159-0	ENSACAT00000009159
OG0001320	augCGP-10752.t1	ENSACAT00000056972
OG0001321	augTMR-ENSACAT00000006430-0	ENSACAT00000044254, ENSACAT00000043252, ENSACAT00000039275
OG0001322	ENSACAT00000030032-0	ENSACAT00000030032, ENSACAT00000004336, ENSACAT00000041159, ENSACAT00000047466
OG0001324	augTM-ENSACAT00000004875-2	ENSACAT00000046171, ENSACAT00000058112, ENSACAT00000058045
OG0001325	ENSACAT00000006902-0	ENSACAT00000006902
OG0001325	augTM-ENSACAT00000005153-0	ENSACAT00000005153
OG0001326	augTM-ENSACAT00000003628-0	ENSACAT00000003628
OG0001326	augTM-ENSACAT00000001283-0	ENSACAT00000001283
OG0001329	ENSACAT00000012731-0	ENSACAT00000037838, ENSACAT00000054991, ENSACAT00000012731
OG0001330	augTM-ENSACAT00000012910-0	ENSACAT00000012910
OG0001330	ENSACAT00000012524-0	ENSACAT00000012524
OG0001331	ENSACAT00000014071-0	ENSACAT00000042059, ENSACAT00000014071
OG0001334	ENSACAT00000001832-0	ENSACAT00000001832
OG0001336	ENSACAT00000010099-0	ENSACAT00000040183, ENSACAT00000053009, ENSACAT00000010099
OG0001338	augTM-ENSACAT00000011183-1	ENSACAT00000011183
OG0001338	ENSACAT00000030238-1	ENSACAT00000030238
OG0001339	augCGP-2160.t1	ENSACAT00000002468
OG0001340	augTMR-ENSACAT00000009253-0	ENSACAT00000009253
OG0001341	ENSACAT00000008739-0	ENSACAT00000008739
OG0001342	ENSACAT00000029213-0	ENSACAT00000029213
OG0001344	augTM-ENSACAT00000030454-0	ENSACAT00000040856
OG0001346	augTM-ENSACAT00000014581-0	ENSACAT00000045906, ENSACAT00000014581
OG0001347	ENSACAT00000029274-1	ENSACAT00000009545
OG0001348	augTMR-ENSACAT00000003766-0	ENSACAT00000054461, ENSACAT00000003766
OG0001349	augTMR-ENSACAT00000005448-0	ENSACAT00000005448
OG0001350	ENSACAT00000001059-0	ENSACAT00000056888, ENSACAT00000001059
OG0001351	augTM-ENSACAT00000003918-1	ENSACAT00000040952
OG0001351	augTM-ENSACAT00000001182-0	ENSACAT00000001182
OG0001352	augTM-ENSACAT00000010724-0	ENSACAT00000027631, ENSACAT00000048055, ENSACAT00000044856
OG0001353	augTMR-ENSACAT00000004289-0	ENSACAT00000047346
OG0001353	augTM-ENSACAT00000001285-0	ENSACAT00000053010
OG0001354	augTM-ENSACAT00000016014-0	ENSACAT00000006082, ENSACAT00000040773
OG0001355	augTM-ENSACAT00000001867-0	ENSACAT00000001867, ENSACAT00000044953
OG0001359	augTM-ENSACAT00000015366-0	ENSACAT00000049405, ENSACAT00000015366
OG0001359	augTMR-ENSACAT00000013973-0	ENSACAT00000011359
OG0001362	ENSACAT00000009594-1	ENSACAT00000009594
OG0001362	augTM-ENSACAT00000010195-1	ENSACAT00000010195
OG0001363	augTM-ENSACAT00000003081-0	ENSACAT00000045319, ENSACAT00000003081
OG0001364	augTMR-ENSACAT00000010059-0	ENSACAT00000046166, ENSACAT00000045620
OG0001365	augTM-ENSACAT00000004489-1	ENSACAT00000002819
OG0001366	augTMR-ENSACAT00000001565-0	ENSACAT00000001565, ENSACAT00000053398, ENSACAT00000047766, ENSACAT00000057973
OG0001367	ENSACAT00000027748-0	ENSACAT00000027748
OG0001368	augTM-ENSACAT00000001277-1	ENSACAT00000001277
OG0001369	augTM-ENSACAT00000011724-0	ENSACAT00000011724, ENSACAT00000045143, ENSACAT00000053073, ENSACAT00000055502
OG0001371	ENSACAT00000008282-0	ENSACAT00000056560, ENSACAT00000044587, ENSACAT00000008282, ENSACAT00000042579
OG0001372	augTMR-ENSACAT00000008304-0	ENSACAT00000053986
OG0001373	augTM-ENSACAT00000008327-0	ENSACAT00000056221
OG0001374	ENSACAT00000014485-0	ENSACAT00000053255, ENSACAT00000014485
OG0001375	augTMR-ENSACAT00000023967-0	ENSACAT00000023967, ENSACAT00000058321
OG0001376	ENSACAT00000014160-0	ENSACAT00000014160
OG0001376	ENSACAT00000003015-0	ENSACAT00000003015
OG0001377	ENSACAT00000016558-1	ENSACAT00000046115, ENSACAT00000016558
OG0001378	ENSACAT00000002226-0	ENSACAT00000036761, ENSACAT00000002226
OG0001379	ENSACAT00000029844-0, ENSACAT00000003786-0	ENSACAT00000052513, ENSACAT00000042546, ENSACAT00000029844, ENSACAT00000003786
OG0001380	ENSACAT00000004914-2	ENSACAT00000054668, ENSACAT00000004914
OG0001380	augTM-ENSACAT00000013249-2	ENSACAT00000013249
OG0001381	ENSACAT00000005461-0	ENSACAT00000005461
OG0001383	ENSACAT00000008803-1, augCGP-3456.t1	ENSACAT00000057414, ENSACAT00000008803, ENSACAT00000043030
OG0001384	augTM-ENSACAT00000008871-0	ENSACAT00000008871
OG0001385	ENSACAT00000014406-0	ENSACAT00000014406
OG0001385	augTM-ENSACAT00000016896-0	ENSACAT00000016896
OG0001386	ENSACAT00000016797-2	ENSACAT00000058608, ENSACAT00000041786, ENSACAT00000016797
OG0001388	ENSACAT00000005075-0	ENSACAT00000005075
OG0001389	augTM-ENSACAT00000009022-1	ENSACAT00000009022
OG0001389	augTM-ENSACAT00000005689-0	ENSACAT00000005689
OG0001393	ENSACAT00000017358-0	ENSACAT00000017358, ENSACAT00000040922, ENSACAT00000049382, ENSACAT00000043541
OG0001394	ENSACAT00000025280-0	ENSACAT00000025280
OG0001394	ENSACAT00000000035-0	ENSACAT00000000035
OG0001395	ENSACAT00000000031-0	ENSACAT00000000031, ENSACAT00000047643
OG0001396	ENSACAT00000013347-0	ENSACAT00000013347
OG0001396	ENSACAT00000030760-0, augTM-ENSACAT00000013166-0	ENSACAT00000030760
OG0001397	augTM-ENSACAT00000011167-0	ENSACAT00000055917, ENSACAT00000045861
OG0001399	augTM-ENSACAT00000016605-0	ENSACAT00000055322, ENSACAT00000016605
OG0001400	augTMR-ENSACAT00000016083-0	ENSACAT00000016083
OG0001401	augTM-ENSACAT00000008103-2	ENSACAT00000008103, ENSACAT00000040566
OG0001403	ENSACAT00000001627-1, augTM-ENSACAT00000004781-0	ENSACAT00000004781
OG0001404	augTM-ENSACAT00000003631-0	ENSACAT00000048971, ENSACAT00000003631, ENSACAT00000045952
OG0001405	augTMR-ENSACAT00000011991-1	ENSACAT00000011987, ENSACAT00000040603, ENSACAT00000011991, ENSACAT00000051722
OG0001408	ENSACAT00000014705-4	ENSACAT00000014705
OG0001409	augTM-ENSACAT00000029197-2	ENSACAT00000049500, ENSACAT00000007738, ENSACAT00000029197, ENSACAT00000041006
OG0001411	augTM-ENSACAT00000011012-0	ENSACAT00000058328
OG0001414	augTMR-ENSACAT00000001348-4	ENSACAT00000001348, ENSACAT00000041486
OG0001415	ENSACAT00000002341-0	ENSACAT00000053941, ENSACAT00000002341
OG0001416	augTM-ENSACAT00000003041-3	ENSACAT00000003041, ENSACAT00000049139, ENSACAT00000048884
OG0001417	augTM-ENSACAT00000008040-0	ENSACAT00000046922, ENSACAT00000008040
OG0001419	augTM-ENSACAT00000001956-0	ENSACAT00000001956
OG0001419	augTM-ENSACAT00000017014-0	ENSACAT00000017014
OG0001420	augTM-ENSACAT00000006786-0	ENSACAT00000006786, ENSACAT00000050241, ENSACAT00000049849
OG0001421	ENSACAT00000000915-0	ENSACAT00000000915
OG0001422	ENSACAT00000001994-0	ENSACAT00000057850
OG0001423	augTM-ENSACAT00000009361-0	ENSACAT00000053072, ENSACAT00000009361, ENSACAT00000051602
OG0001426	ENSACAT00000004799-0	ENSACAT00000029030, ENSACAT00000004799
OG0001429	augTMR-ENSACAT00000014646-0	ENSACAT00000051873, ENSACAT00000050246, ENSACAT00000014646
OG0001430	augTM-ENSACAT00000004555-0	ENSACAT00000004555
OG0001430	augTM-ENSACAT00000004545-1	ENSACAT00000004545
OG0001431	augTM-ENSACAT00000007240-0	ENSACAT00000041537
OG0001432	augTMR-ENSACAT00000009166-0	ENSACAT00000009166, ENSACAT00000044762
OG0001434	ENSACAT00000008817-1	ENSACAT00000058731, ENSACAT00000043213, ENSACAT00000008817
OG0001435	augTM-ENSACAT00000013063-0	ENSACAT00000050645, ENSACAT00000013063, ENSACAT00000038259, ENSACAT00000055962
OG0001438	ENSACAT00000010327-0	ENSACAT00000050018, ENSACAT00000010327, ENSACAT00000002725
OG0001439	ENSACAT00000003696-2	ENSACAT00000003696, ENSACAT00000043175
OG0001441	augTMR-ENSACAT00000012949-0	ENSACAT00000012949
OG0001442	augTM-ENSACAT00000029225-2	ENSACAT00000052631, ENSACAT00000048444
OG0001445	augTMR-ENSACAT00000029810-0, augTMR-ENSACAT00000012613-0	ENSACAT00000029810, ENSACAT00000012613
OG0001449	augTMR-ENSACAT00000007492-1	ENSACAT00000050811
OG0001450	ENSACAT00000013220-0	ENSACAT00000013220
OG0001450	ENSACAT00000008921-0	ENSACAT00000008921
OG0001451	augCGP-4114.t1, augTMR-ENSACAT00000029166-2, augTM-ENSACAT00000023278-2	ENSACAT00000050821, ENSACAT00000023278, ENSACAT00000047628
OG0001452	augTMR-ENSACAT00000016749-0	ENSACAT00000016749
OG0001453	augTMR-ENSACAT00000016487-0	ENSACAT00000016487
OG0001453	augTM-ENSACAT00000007455-0	ENSACAT00000007455
OG0001454	augTM-ENSACAT00000000629-0	ENSACAT00000052582, ENSACAT00000015872
OG0001455	augTM-ENSACAT00000013618-1	ENSACAT00000058903, ENSACAT00000013618
OG0001456	ENSACAT00000012633-1	ENSACAT00000012633
OG0001458	ENSACAT00000013203-1	ENSACAT00000013203, ENSACAT00000048840
OG0001459	ENSACAT00000013065-1	ENSACAT00000057707, ENSACAT00000013065, ENSACAT00000049903
OG0001460	augTMR-ENSACAT00000007925-0	ENSACAT00000007925, ENSACAT00000050101
OG0001461	augTM-ENSACAT00000000751-1	ENSACAT00000000751, ENSACAT00000045346
OG0001462	augTM-ENSACAT00000014407-0	ENSACAT00000014407
OG0001462	augTMR-ENSACAT00000029969-0	ENSACAT00000014125
OG0001465	augTM-ENSACAT00000009056-0	ENSACAT00000009056
OG0001465	ENSACAT00000004756-0	ENSACAT00000004756
OG0001466	augTMR-ENSACAT00000008977-0	ENSACAT00000040155, ENSACAT00000008977, ENSACAT00000053396, ENSACAT00000043706
OG0001467	augTMR-ENSACAT00000008445-0	ENSACAT00000008445
OG0001468	ENSACAT00000012470-0	ENSACAT00000012470
OG0001469	ENSACAT00000013740-0	ENSACAT00000013740
OG0001470	augTM-ENSACAT00000007463-0	ENSACAT00000056525
OG0001471	ENSACAT00000016984-0	ENSACAT00000016984, ENSACAT00000054028, ENSACAT00000048215
OG0001472	ENSACAT00000017373-0	ENSACAT00000050874, ENSACAT00000017373
OG0001473	ENSACAT00000017412-1	ENSACAT00000052722, ENSACAT00000017412
OG0001475	augTM-ENSACAT00000016150-0	ENSACAT00000016150
OG0001476	augTMR-ENSACAT00000018025-0	ENSACAT00000018025
OG0001477	augTM-ENSACAT00000006512-0	ENSACAT00000006512
OG0001477	ENSACAT00000010448-0	ENSACAT00000010448
OG0001478	ENSACAT00000004805-1	ENSACAT00000004805
OG0001479	augTM-ENSACAT00000005104-0	ENSACAT00000005104, ENSACAT00000051136, ENSACAT00000042624
OG0001480	augTMR-ENSACAT00000005672-0	ENSACAT00000028343, ENSACAT00000038550, ENSACAT00000005672
OG0001482	augTMR-ENSACAT00000004646-0	ENSACAT00000004646
OG0001482	ENSACAT00000012408-0	ENSACAT00000012408
OG0001483	augTM-ENSACAT00000007198-1	ENSACAT00000054388, ENSACAT00000007198
OG0001485	augTM-ENSACAT00000006950-0	ENSACAT00000038333, ENSACAT00000050316, ENSACAT00000057554, ENSACAT00000006950
OG0001486	ENSACAT00000007460-0	ENSACAT00000048478, ENSACAT00000039106, ENSACAT00000007460
OG0001487	ENSACAT00000007970-0	ENSACAT00000007970, ENSACAT00000058885, ENSACAT00000045720
OG0001488	ENSACAT00000014724-1, ENSACAT00000003961-0	ENSACAT00000003961
OG0001491	ENSACAT00000016295-1, augTM-ENSACAT00000030807-1	ENSACAT00000030807, ENSACAT00000016295, ENSACAT00000040431
OG0001492	ENSACAT00000009404-0	ENSACAT00000009404, ENSACAT00000056451, ENSACAT00000049476, ENSACAT00000043199
OG0001493	ENSACAT00000009582-0	ENSACAT00000009582, ENSACAT00000038780, ENSACAT00000028536
OG0001494	augTM-ENSACAT00000010298-0	ENSACAT00000037920, ENSACAT00000010298
OG0001495	ENSACAT00000004839-0	ENSACAT00000004839
OG0001496	ENSACAT00000014938-0	ENSACAT00000014938
OG0001497	ENSACAT00000014876-0	ENSACAT00000014876
OG0001497	augTM-ENSACAT00000007150-0	ENSACAT00000007150, ENSACAT00000056804
OG0001499	ENSACAT00000017144-0	ENSACAT00000046305, ENSACAT00000050727, ENSACAT00000017144, ENSACAT00000029515
OG0001500	augTM-ENSACAT00000010308-0	ENSACAT00000042169, ENSACAT00000049825, ENSACAT00000010308, ENSACAT00000045703
OG0001502	ENSACAT00000014143-0	ENSACAT00000014143, ENSACAT00000047693, ENSACAT00000058087
OG0001503	augTMR-ENSACAT00000028107-0	ENSACAT00000028107, ENSACAT00000048624, ENSACAT00000053543
OG0001504	augTMR-ENSACAT00000001287-0	ENSACAT00000001287
OG0001505	augTM-ENSACAT00000001750-2	ENSACAT00000054566, ENSACAT00000048760, ENSACAT00000001750
OG0001508	augTM-ENSACAT00000007016-2	ENSACAT00000038240, ENSACAT00000007016, ENSACAT00000042942
OG0001509	augTMR-ENSACAT00000004500-0	ENSACAT00000004500, ENSACAT00000050242, ENSACAT00000044017, ENSACAT00000038867
OG0001511	augTM-ENSACAT00000000848-1	ENSACAT00000000848, ENSACAT00000023008, ENSACAT00000051302
OG0001512	augTM-ENSACAT00000015085-0	ENSACAT00000005674
OG0001514	augTM-ENSACAT00000002795-0	ENSACAT00000056926, ENSACAT00000041668, ENSACAT00000048003
OG0001515	augTMR-ENSACAT00000000829-0	ENSACAT00000055197, ENSACAT00000000829
OG0001516	augTM-ENSACAT00000009738-0	ENSACAT00000009738
OG0001517	augTM-ENSACAT00000008349-0	ENSACAT00000044345, ENSACAT00000042982, ENSACAT00000056180, ENSACAT00000008349
OG0001518	augTMR-ENSACAT00000008060-1	ENSACAT00000041595, ENSACAT00000008060
OG0001519	augTM-ENSACAT00000007051-0	ENSACAT00000045100, ENSACAT00000047167, ENSACAT00000007051
OG0001520	ENSACAT00000007539-2	ENSACAT00000007539, ENSACAT00000052417, ENSACAT00000054435
OG0001521	augTM-ENSACAT00000006895-1	ENSACAT00000054477, ENSACAT00000051032, ENSACAT00000050946, ENSACAT00000006895
OG0001524	ENSACAT00000013130-0	ENSACAT00000013130, ENSACAT00000053686, ENSACAT00000051450
OG0001525	augTMR-ENSACAT00000014369-0	ENSACAT00000014369, ENSACAT00000057293, ENSACAT00000054282
OG0001526	augTM-ENSACAT00000014354-0	ENSACAT00000036924, ENSACAT00000041577, ENSACAT00000040638, ENSACAT00000014354
OG0001528	augTM-ENSACAT00000004522-0	ENSACAT00000058901, ENSACAT00000057797, ENSACAT00000039699, ENSACAT00000038745
OG0001529	augTM-ENSACAT00000017817-0	ENSACAT00000017817, ENSACAT00000053359
OG0001530	ENSACAT00000017757-0	ENSACAT00000017757, ENSACAT00000038406
OG0001531	augTMR-ENSACAT00000017664-0	ENSACAT00000050484, ENSACAT00000017664, ENSACAT00000055087
OG0001532	augTM-ENSACAT00000029569-0	ENSACAT00000010943, ENSACAT00000037622, ENSACAT00000042510, ENSACAT00000029569
OG0001533	ENSACAT00000004951-0	ENSACAT00000004951, ENSACAT00000053498, ENSACAT00000053959
OG0001535	augCGP-3428.t1	ENSACAT00000027025
OG0001536	augTM-ENSACAT00000005465-0	ENSACAT00000001648, ENSACAT00000039372
OG0001538	augTMR-ENSACAT00000007979-1	ENSACAT00000042508, ENSACAT00000007979, ENSACAT00000055184, ENSACAT00000049263
OG0001540	augTMR-ENSACAT00000001437-0	ENSACAT00000001437, ENSACAT00000047447, ENSACAT00000054981
OG0001541	augTMR-ENSACAT00000013957-0	ENSACAT00000047349
OG0001542	ENSACAT00000009275-1	ENSACAT00000009275, ENSACAT00000056677
OG0001543	ENSACAT00000010458-0	ENSACAT00000010458, ENSACAT00000040341, ENSACAT00000058372
OG0001544	augTM-ENSACAT00000016703-0	ENSACAT00000006481, ENSACAT00000044997
OG0001545	ENSACAT00000009110-0	ENSACAT00000009110
OG0001549	augTM-ENSACAT00000010979-2	ENSACAT00000010979
OG0001550	augTM-ENSACAT00000006808-1	ENSACAT00000044315, ENSACAT00000040077, ENSACAT00000044281, ENSACAT00000006808
OG0001551	ENSACAT00000029767-1, augTM-ENSACAT00000005502-1	ENSACAT00000029767, ENSACAT00000048074, ENSACAT00000050233, ENSACAT00000049485
OG0001552	augTM-ENSACAT00000007009-2	ENSACAT00000007009, ENSACAT00000051747, ENSACAT00000028331, ENSACAT00000054607, ENSACAT00000043709
OG0001553	augTMR-ENSACAT00000011805-0	ENSACAT00000011805, ENSACAT00000058482, ENSACAT00000042807
OG0001554	augTM-ENSACAT00000006402-0	ENSACAT00000006402, ENSACAT00000050398, ENSACAT00000052389
